date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190708,HH,A,2,2,40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,1,1,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.1,,0.1,0.1,1
20190708,HL,B,2,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,1,3,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0,0.1,1
20190708,HL,B,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.1,0.9,0.1,1
20190708,HL,B,2,1,5,,0.2,0.2,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1,0.5,1
20190708,HL,B,2,1,6,,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,1
20190708,HL,B,2,1,7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,0.1,0,1
20190708,HL,B,2,1,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190708,HL,B,2,1,9,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.8,0,1
20190708,HL,B,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,0.5,0.5,1
20190708,HL,B,2,1,11,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0,0.1,1
